TV-Frequencies

2,57,FM
3,63,FM
4,69,FM
5,79,FM
6,85,FM

7,177,FM
8,183,FM
9,189,FM
10,195,FM
11,201,FM
12,207,FM
13,213,FM
 
14,473,FM
15,479,FM
16,485,FM
17,491,FM
18,497,FM
19,503,FM
20,509,FM
21,515,FM
22,521,FM
23,527,FM
24,533,FM
25,539,FM
26,545,FM
27,551,FM
28,557,FM
29,563,FM
30,569,FM
31,575,FM
32,581,FM
33,587,FM
34,593,FM
35,599,FM
36,605,FM

37,611,FM
38,617,FM
39,623,FM
40,629,FM
41,635,FM
42,641,FM
43,647,FM
44,653,FM
45,659,FM
46,665,FM
47,671,FM
48,677,FM
49,683,FM
50,689,FM
51,695,FM

52,701,FM
53,707,FM
54,713,FM
55,719,FM
56,725,FM	
57,731,FM	
58,737,FM	
59,743,FM
60,749,FM
61,755,FM
62,761,FM
63,767,FM
64,773,FM
65,779,FM
66,785,FM
67,791,FM
68,797,FM
69,803,FM 

70,809,FM
71,815,FM
72,821,FM
73,827,FM
74,833,FM
75,839,FM
76,845,FM
77,851,FM
78,857,FM
79,863,FM
80,869,FM
81,875,FM
82,881,FM
83,887,FM
