13	"NOR DISP 1"	
17	"NOR DISP 2"	
2911	"NOR TAC"	
81	"SOU DISP 1"	
85	"SOU DISP 2"	
2923	"SOU TAC"	
91	"EAS DISP 1"	
95	"EAS DISP 2"	
2915	"EAS TAC"	
101	"WES DISP 1"	
105	"WES DISP 2"	
2921	"WES TAC"	
111	"CEN DISP 1"	
115	"CEN DISP 2"	
2919	"CEN TAC"	
141	"MID DISP 1"	
145	"MID DISP 2"	
2925	"MID TAC"	
121	"NE DISP 1"	
125	"NE DISP 2"	
2913	"NE TAC"	
131	"SE DISP 1"	
135	"SE DISP 2"	
2917	"SE TAC"	
151	"NCW DISP 1"	
155	"NCW DISP 2"	
2927	"NW TAC"	
2901	"INQUIRY"	
281	"INQUIRY 2"	
27	"TAC 1"	
33	"TAC 2"	
37	"TAC 3"	
43	"TAC 4"	
47	"TAC 5"	
53	"TAC 6"	
57	"TAC 7"	
63	"CITYTAC 1"	
67	"CITYTAC 2"	
69	"CITYTAC 3"	
993	"EVT DISP 1"	
995	"EVT DISP 2"	
973	"EVT TAC 1"	
975	"EVT TAC 2"	
977	"EVT TAC 3"	
979	"EVT TAC 4"	
981	"EVT TAC 5"	
983	"EVT TAC 6"	
985	"EVT TAC 7"	
161	"SWAT 1"	
163	"SWAT 2"	
171	"NARC 1"	
175	"NARC 2"	
181	"NARC 3"	
191	"PATCH"	
201	"CHP CALL"	
205	"SO CALL"	
209	"OTH CALL"	
211	"BP CALL"	
213	"BORDER 1"	
215	"BORDER 2"	
217	"BORDER 3"	
223	"IAD 1"	
225	"IAD 2"	
231	"CIU 1"	
237	"SIU 1"	
239	"SIU 2"	
243	"AIR TAC 1"	
245	"AIR TAC 2"	
249	"Training 1"	
251	"Training 2"	
253	"Training 3"	
255	"NTF"	
261	"VICE 1"	
263	"VICE 2"	
267	"ENT"	
271	"GANGS 1"	
273	"GANGS 2"	
277	"ROBBERY 1"	
279	"ROBBERY 2"	
285	"PEO 1"	
287	"PEO 2"	
289	"PEO 3"	
815	"PEO DISPATCH"	
3009	"INVTC CALL"	
